b_max,b_mean,b_min,b_p10,b_p15,b_p20,b_p25,b_p30,b_p35,b_p40,b_p45,b_p5,b_p50,b_p55,b_p60,b_p65,b_p70,b_p75,b_p80,b_p85,b_p90,b_p95,b_std,g_max,g_mean,g_min,g_p10,g_p15,g_p20,g_p25,g_p30,g_p35,g_p40,g_p45,g_p5,g_p50,g_p55,g_p60,g_p65,g_p70,g_p75,g_p80,g_p85,g_p90,g_p95,g_std,r_max,r_mean,r_min,r_p10,r_p15,r_p20,r_p25,r_p30,r_p35,r_p40,r_p45,r_p5,r_p50,r_p55,r_p60,r_p65,r_p70,r_p75,r_p80,r_p85,r_p90,r_p95,r_std
230,99.87,17,22.900000000000002,25.0,29.0,31.0,39.0,62.24999999999999,74.4,92.30000000000003,19.9,109.5,123.45,129.39999999999998,134.05,141.3,147.25,157.2,164.14999999999998,176.0000000000001,188.14999999999998,60.676462487524766,82,52.0,34,40.9,43.0,43.8,45.0,45.7,47.0,48.6,49.0,38.949999999999996,51.0,52.0,53.0,54.35000000000001,57.0,58.25,61.0,62.29999999999998,65.0,68.0,9.595832428716125,113,61.23,26,32.9,35.0,37.0,40.0,40.7,43.65,49.2,53.550000000000004,30.0,60.0,67.45,72.0,73.35000000000001,75.0,82.0,84.2,88.0,91.30000000000003,100.0,23.132598211182415
199,95.08,16,22.0,23.85,27.8,33.0,37.0,63.44999999999998,73.6,90.20000000000002,19.95,102.5,120.0,124.8,128.70000000000002,133.3,136.5,142.60000000000002,155.89999999999992,167.0,185.14999999999998,56.44141741664537,91,59.08,36,40.0,46.0,49.0,50.75,52.0,53.0,54.6,56.550000000000004,38.0,58.5,59.0,60.4,62.0,65.3,68.0,72.0,74.14999999999999,76.10000000000001,79.1,13.064210653537396,115,63.68,27,32.0,35.85,40.8,42.75,44.4,47.65,52.2,59.65000000000001,28.95,64.5,71.9,77.0,78.0,80.0,82.0,84.0,86.14999999999999,88.10000000000001,107.1,23.75158100000924
248,120.74,16,25.0,28.0,30.0,40.0,51.999999999999986,71.3,95.80000000000001,122.75000000000003,21.0,142.5,156.0,161.8,169.35000000000002,176.3,184.25,191.2,200.29999999999998,207.20000000000005,214.0,72.53283670173117,86,58.95,36,44.0,45.0,46.0,48.75,49.7,52.0,56.6,58.0,41.0,60.0,61.0,63.4,65.0,66.3,68.25,70.0,71.14999999999999,73.0,78.1,11.891488552742251,127,72.75,28,34.0,37.699999999999996,39.0,41.0,43.0,48.65,54.800000000000004,64.0,31.95,77.5,85.80000000000001,93.0,94.35000000000001,98.3,101.0,104.0,106.0,109.0,115.05,30.580181490632132
252,117.97,20,25.0,26.849999999999998,28.0,31.0,43.8,64.3,92.0,107.65,22.950000000000003,131.5,140.60000000000002,164.4,169.35000000000002,173.0,183.0,187.0,195.14999999999998,204.9000000000001,226.29999999999998,73.61813023977177,85,59.39,39,43.0,45.0,47.0,49.0,51.0,52.0,53.0,54.550000000000004,41.949999999999996,57.5,60.0,62.0,63.35000000000001,66.3,72.25,74.0,75.14999999999999,78.0,81.1,12.96448610628281,132,73.55,31,35.0,36.0,38.0,39.0,43.0,47.0,55.6,62.0,34.0,68.5,84.0,91.0,95.35000000000001,96.3,103.25,109.2,112.0,114.10000000000001,123.1,32.46917769208207
225,111.5,18,25.0,28.0,30.8,34.0,47.89999999999999,70.19999999999999,81.80000000000001,99.55000000000001,21.0,129.0,135.45,137.79999999999998,145.0,152.2,180.75,186.2,192.29999999999998,203.10000000000002,211.15,68.22147755655838,79,54.55,39,44.0,44.0,46.0,46.0,47.0,48.0,50.2,52.0,41.949999999999996,53.5,55.0,57.4,59.0,61.0,62.0,63.2,65.14999999999999,67.0,69.19999999999999,9.618081929366168,114,66.73,30,35.0,36.0,38.8,40.75,42.7,45.3,49.6,61.10000000000001,33.949999999999996,68.0,71.9,76.4,81.0,87.0,92.25,96.2,99.14999999999999,103.0,105.05,26.398051064425196
251,119.42,22,26.0,27.0,30.8,33.75,46.39999999999999,70.3,83.6,105.50000000000004,23.95,135.5,149.0,154.0,162.40000000000003,174.6,184.0,196.2,205.89999999999998,215.10000000000002,227.25,74.27828484826505,85,57.34,40,44.9,46.0,46.800000000000004,47.75,50.0,51.65,53.0,54.0,43.0,56.0,59.0,60.0,61.0,63.0,66.0,67.0,69.0,71.0,75.05,10.600207545137973,117,71.4,33,37.900000000000006,39.0,39.0,41.0,42.0,45.3,54.00000000000001,66.75000000000003,35.949999999999996,73.0,78.45,84.4,91.70000000000002,98.3,101.0,103.0,105.0,108.0,110.05,28.561862684355862
259,112.57,19,24.0,26.0,27.8,32.75,38.4,63.09999999999998,85.60000000000001,101.10000000000001,21.0,115.5,139.0,145.39999999999998,148.35000000000002,158.89999999999998,174.25,190.2,197.15,204.0,211.15,72.05085079303366,88,58.73,35,44.9,46.849999999999994,47.8,49.0,50.699999999999996,52.0,53.6,55.0,41.0,57.5,60.0,63.0,65.0,66.0,67.0,69.0,71.0,74.10000000000001,78.0,11.851459825692361,139,71.12,31,35.0,36.85,38.8,41.0,43.7,47.65,55.800000000000004,60.550000000000004,33.949999999999996,66.5,80.9,86.0,88.0,92.3,95.5,99.2,105.14999999999999,110.0,118.1,30.48057742235209
253,116.97,19,26.0,27.0,29.0,35.0,43.4,56.0,86.4,106.55000000000001,22.0,123.5,147.95000000000005,165.39999999999998,170.35000000000002,175.3,185.25,189.40000000000003,195.14999999999998,200.20000000000002,218.05,73.2265600721487,88,57.4,37,42.900000000000006,43.85,46.0,47.0,48.0,49.0,51.0,53.0,41.0,54.5,57.0,59.4,64.0,66.0,68.0,69.2,72.14999999999999,75.0,79.05,12.626163312740731,134,71.41,30,34.900000000000006,36.0,37.0,38.0,40.7,45.65,52.0,57.550000000000004,33.0,67.5,78.0,88.4,94.35000000000001,100.3,102.0,103.4,107.14999999999999,113.0,117.05,31.637981920470214
219,111.86,17,24.0,26.0,28.8,31.75,44.29999999999999,62.24999999999999,93.0,101.55000000000001,22.900000000000002,125.5,131.45,140.4,159.70000000000002,169.5,178.25,190.0,194.14999999999998,198.40000000000003,206.14999999999998,69.28463321689738,85,54.99,37,42.0,43.85,45.0,46.75,49.0,50.0,50.6,53.0,40.95,54.5,56.0,57.0,58.0,60.0,62.25,64.0,66.0,68.10000000000001,72.05,10.419688095139893,123,67.97,27,33.0,36.0,38.0,39.75,40.7,43.0,51.6,61.550000000000004,32.0,69.0,73.45,77.0,83.0,88.3,95.25,98.0,101.0,108.10000000000001,114.05,28.83728662686557
229,113.74,22,26.0,27.85,28.8,29.0,40.0,59.65,88.20000000000002,107.30000000000003,24.0,120.5,132.9,154.2,164.40000000000003,171.6,180.25,186.2,194.14999999999998,202.10000000000002,212.05,70.80672566924699,82,55.81,40,44.0,45.0,47.0,49.0,50.0,50.0,51.0,52.0,42.95,53.5,57.0,58.0,59.35000000000001,61.0,62.0,63.400000000000006,66.0,67.10000000000001,76.1,9.904236467290147,115,68.25,31,37.0,38.0,38.8,40.75,42.0,43.65,45.6,58.550000000000004,35.9,66.5,74.45,82.8,90.35000000000001,91.3,93.0,97.0,100.14999999999999,106.0,110.14999999999999,27.785742746955677
