b_max,b_mean,b_min,b_p10,b_p15,b_p20,b_p25,b_p30,b_p35,b_p40,b_p45,b_p5,b_p50,b_p55,b_p60,b_p65,b_p70,b_p75,b_p80,b_p85,b_p90,b_p95,b_std,g_max,g_mean,g_min,g_p10,g_p15,g_p20,g_p25,g_p30,g_p35,g_p40,g_p45,g_p5,g_p50,g_p55,g_p60,g_p65,g_p70,g_p75,g_p80,g_p85,g_p90,g_p95,g_std,r_max,r_mean,r_min,r_p10,r_p15,r_p20,r_p25,r_p30,r_p35,r_p40,r_p45,r_p5,r_p50,r_p55,r_p60,r_p65,r_p70,r_p75,r_p80,r_p85,r_p90,r_p95,r_std
269,80.61,11,12.9,13.0,14.0,15.0,16.7,18.65,24.200000000000003,43.550000000000004,11.95,62.0,85.25000000000001,94.0,112.70000000000002,124.0,135.25,145.60000000000002,164.14999999999998,173.70000000000005,198.2,69.68929544772281,51,25.38,17,19.0,20.0,20.0,21.0,21.7,22.0,22.0,23.0,19.0,24.0,25.0,25.0,26.0,27.0,28.25,30.0,30.0,33.0,37.14999999999999,6.289324288029677,136,56.79,23,29.9,32.0,32.0,33.0,34.0,36.0,38.0,41.550000000000004,27.9,45.0,50.45,60.4,66.0,73.6,78.25,85.0,92.0,97.10000000000001,102.29999999999998,27.88343415004687
172,73.32,11,13.0,13.0,14.0,14.75,16.0,21.65,27.200000000000003,40.95000000000004,12.0,57.0,74.9,90.39999999999998,110.35000000000001,124.89999999999999,131.25,140.4,146.0,156.20000000000002,164.05,58.221281332516206,43,31.99,21,26.0,27.0,28.0,29.0,29.0,30.0,30.6,31.0,24.0,32.0,33.0,33.4,34.0,35.0,35.0,36.0,37.0,38.0,39.099999999999994,4.674387660432113,106,58.92,32,36.0,37.0,39.0,39.75,40.7,42.0,44.0,46.0,33.0,48.0,55.0,62.4,70.05000000000003,76.0,81.0,86.2,90.0,94.10000000000001,96.05,22.550246118390813
189,63.53,11,12.0,13.0,14.0,14.0,16.0,16.65,21.6,30.75000000000002,12.0,47.5,61.80000000000001,74.0,88.35000000000001,95.3,105.25,113.4,121.29999999999998,139.80000000000007,167.3,53.232218627444034,43,28.67,21,22.0,24.0,24.0,25.0,26.0,26.0,27.0,27.550000000000004,22.0,28.0,29.0,29.4,30.0,30.299999999999997,31.0,32.0,33.0,36.10000000000001,39.0,4.9599495965180935,106,56.34,31,34.900000000000006,36.85,37.0,38.0,39.7,41.0,41.0,43.10000000000001,33.0,47.5,52.0,55.4,59.35000000000001,63.599999999999994,71.0,77.2,87.29999999999998,96.10000000000001,102.05,22.59434442509895
184,60.19,10,13.0,14.0,14.0,15.0,16.7,19.0,23.0,31.0,12.0,41.0,55.70000000000002,77.8,85.0,88.89999999999999,103.25,108.2,112.59999999999997,134.10000000000002,140.34999999999997,48.77493106094565,43,28.79,18,24.0,25.0,25.0,26.0,26.7,27.0,28.0,28.0,22.950000000000003,28.0,29.0,30.0,30.0,31.0,31.0,31.200000000000003,33.0,34.0,35.05,4.266837236173885,104,59.66,34,40.0,42.0,43.0,44.0,45.7,46.0,48.6,50.0,39.0,52.0,57.0,59.0,67.35000000000001,72.89999999999999,78.0,80.0,81.44999999999997,87.0,89.0,18.38543989139232
137,53.48,11,13.0,13.0,15.0,15.75,16.0,18.0,22.0,29.10000000000001,12.0,42.5,50.70000000000002,63.4,77.10000000000005,88.3,91.75,96.2,102.0,103.60000000000005,125.24999999999999,40.16403366197176,38,28.15,17,23.0,24.0,25.0,26.0,26.0,26.0,27.0,27.0,21.950000000000003,28.0,28.0,29.0,29.35000000000001,30.0,31.0,31.200000000000003,33.0,34.0,35.05,4.181805830021284,99,60.29,34,40.9,43.7,45.8,47.0,48.0,49.0,50.0,51.550000000000004,36.95,55.0,58.45,62.8,67.0,73.0,75.0,75.2,80.0,85.20000000000002,91.24999999999999,17.44551231692552
185,69.06,12,13.0,14.0,15.8,16.0,17.0,21.0,24.0,33.0,13.0,41.5,66.9,85.0,102.35000000000001,108.3,120.25,126.2,141.14999999999998,156.0,168.0,56.607034898500025,39,24.72,16,21.0,21.0,21.0,22.0,22.0,23.0,23.0,24.0,19.95,24.0,24.0,24.0,25.0,25.0,26.0,27.200000000000003,28.14999999999999,30.0,35.0,4.359082472264089,109,54.87,28,32.0,33.0,35.0,36.0,37.0,39.65,41.0,43.0,30.0,44.5,49.0,52.8,59.0,68.19999999999999,74.25,80.2,83.14999999999999,88.20000000000002,96.19999999999999,22.66788697695487
170,69.5,11,13.9,14.0,15.8,16.75,17.0,19.0,26.800000000000004,38.0,13.0,50.5,73.35000000000001,88.6,101.0,109.6,118.5,132.0,143.0,149.3,160.0,54.44106905636589,43,25.47,18,21.0,22.0,22.0,23.0,23.0,23.0,23.6,24.0,20.0,24.0,25.0,25.0,26.0,27.0,28.0,29.0,29.0,31.0,33.05,4.4820865676602,107,55.66,27,33.0,34.0,35.0,37.0,38.0,40.0,41.6,43.0,32.0,44.5,51.0,56.0,60.050000000000026,70.3,76.5,82.2,86.0,90.0,97.05,22.549598666051686
197,71.43,11,14.0,14.0,14.0,15.0,16.0,21.65,28.200000000000003,36.10000000000001,12.0,54.0,66.45,91.6,99.70000000000002,115.3,125.75,133.2,140.14999999999998,152.20000000000002,171.25,57.65591990420411,37,24.97,18,20.0,20.85,21.0,21.0,22.0,22.0,23.0,23.0,19.0,24.0,24.0,25.0,25.0,26.0,27.25,29.200000000000003,31.0,33.10000000000001,35.0,4.920274382592906,115,57.92,27,31.0,34.0,35.0,37.0,38.0,40.0,43.0,44.0,29.0,46.0,48.0,56.4,65.50000000000009,77.3,83.5,88.0,91.29999999999998,97.0,100.05,25.56899685165611
183,71.38,11,13.0,13.0,14.0,15.0,17.0,21.0,26.800000000000004,33.20000000000002,12.0,53.0,73.45,94.19999999999999,103.70000000000002,110.49999999999999,126.25,135.8,143.45,158.3,168.0,57.90609294366181,38,23.67,17,19.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,18.0,22.0,23.0,23.4,24.0,25.0,26.0,28.0,29.0,30.0,32.05,4.576144665545442,105,57.07,24,33.0,36.0,38.0,39.0,40.0,41.0,42.0,43.0,30.0,48.5,50.45,55.199999999999996,64.35000000000001,73.3,79.0,86.0,88.0,91.0,95.14999999999999,22.99054370822926
186,66.16,11,13.9,14.0,15.0,16.0,17.0,20.0,24.0,36.95000000000004,12.95,46.5,67.0,75.8,106.0,113.89999999999999,122.0,127.2,130.14999999999998,135.10000000000002,140.05,51.53575845953952,41,25.67,17,20.0,21.0,22.0,22.0,23.0,24.0,24.0,24.0,19.0,25.0,25.0,26.0,26.0,27.0,28.0,29.200000000000003,30.299999999999983,33.0,34.099999999999994,4.925555806200962,108,57.37,28,32.0,33.85,36.8,38.0,39.0,39.65,41.0,46.0,30.950000000000003,47.0,50.0,56.19999999999999,66.70000000000002,77.0,79.0,84.0,88.44999999999997,94.0,100.05,23.97442595767415
